Year,Rank,Name,Category
2011,4,Manny Pacquiao,Athletes
2011,5,Tim Tebow,Athletes
2011,6,"Floyd Mayweather, Jr.",Athletes
2011,7,Tiger Woods,Athletes
2011,8,Kris Humphries,Athletes
2011,9,Hope Solo,Athletes
2011,10,Derrick Rose,Athletes
2011,1,Justin Bieber,People
2011,2,Kim Kardashian,People
2011,3,Lil Wayne,People
2011,4,Drake,People
2011,5,Barack Obama,People
2011,6,Lady Gaga,People
2011,7,Nicki Minaj,People
2011,8,Selena Gomez,People
2011,9,Michael Jordan,People
2011,10,Rihanna,People
2011,1,Rebecca Black,Pop Culture/People
2011,2,Scotty McCreery,Pop Culture/People
2011,3,Courtney Stodden,Pop Culture/People
2011,4,Kate Upton,Pop Culture/People
2011,5,Kreayshawn,Pop Culture/People
2011,6,"Tyler, The Creator",Pop Culture/People
2011,7,Ryan Dunn,Pop Culture/People
2011,8,Pippa Middleton,Pop Culture/People
2011,9,Hope Solo  ,Pop Culture/People
2011,10,Troy Davis,Pop Culture/People
2011,1,Justin Bieber,Teen Pop Artists
2011,2,Selena Gomez,Teen Pop Artists
2011,3,Beyonce,Teen Pop Artists
2011,4,Taylor Swift,Teen Pop Artists
2011,5,Katy Perry,Teen Pop Artists
2011,6,Miley Cyrus,Teen Pop Artists
2011,7,Britney Spears,Teen Pop Artists
2011,8,Lindsay Lohan,Teen Pop Artists
2011,9,Rebecca Black,Teen Pop Artists
2011,10,Demi Lovato,Teen Pop Artists
2011,1,Justin Bieber,Music Artists
2011,2,Lil Wayne,Music Artists
2011,3,Drake,Music Artists
2011,4,Lady Gaga,Music Artists
2011,5,Nicki Minaj,Music Artists
2011,6,Selena Gomez,Music Artists
2011,7,Rihanna,Music Artists
2011,8,Chris Brown,Music Artists
2011,9,Beyonce,Music Artists
2011,10,Eminem,Music Artists
2010,1,Miley Cyrus,Actors
2010,2,Megan Fox,Actors
2010,3,Selena Gomez,Actors
2010,4,Robert Pattinson,Actors
2010,5,Kristen Stewart,Actors
2010,6,Lindsay Lohan,Actors
2010,7,Demi Lovato,Actors
2010,8,Chuck Norris,Actors
2010,9,Angelina Jolie,Actors
2010,10,Sandra Bullock,Actors
2010,1,Michael Jordan,Athletes
2010,2,LeBron James,Athletes
2010,3,Tiger Woods,Athletes
2010,4,Brett Favre,Athletes
2010,5,Kobe Bryant,Athletes
2010,6,Cristiano Ronaldo,Athletes
2010,7,Manny Pacquiao,Athletes
2010,8,Brock Lesnar,Athletes
2010,9,"Floyd Mayweather, Jr.",Athletes
2010,10,Tim Tebow,Athletes
2010,1,Justin Bieber,Music Artists
2010,2,Lady Gaga,Music Artists
2010,3,Lil Wayne,Music Artists
2010,4,Drake,Music Artists
2010,5,Eminem,Music Artists
2010,6,Miley Cyrus,Music Artists
2010,7,Nicki Minaj,Music Artists
2010,8,Taylor Swift,Music Artists
2010,9,Katy Perry,Music Artists
2010,10,Rihanna,Music Artists
2010,1,Justin Bieber,People
2010,2,Lady Gaga,People
2010,3,Lil Wayne,People
2010,4,Barack Obama,People
2010,5,Kim Kardashian,People
2010,6,Drake,People
2010,7,Eminem,People
2010,8,Miley Cyrus,People
2010,9,Nicki Minaj,People
2010,10,Taylor Swift,People
2010,1,Justin Bieber,Teen Pop Artists
2010,2,Miley Cyrus,Teen Pop Artists
2010,3,Taylor Swift,Teen Pop Artists
2010,4,Katy Perry,Teen Pop Artists
2010,5,Beyonce,Teen Pop Artists
2010,6,Selena Gomez,Teen Pop Artists
2010,7,Lindsay Lohan,Teen Pop Artists
2010,8,Britney Spears,Teen Pop Artists
2010,9,Demi Lovato,Teen Pop Artists
2010,10,Christina Aguilera,Teen Pop Artists
2010,1,Barack Obama,Politicians
2010,2,Sarah Palin,Politicians
2010,3,Adolf Hitler,Politicians
2010,4,George W. Bush,Politicians
2010,5,Manny Pacquiao,Politicians
2010,6,Abraham Lincoln,Politicians
2010,7,John F. Kennedy,Politicians
2010,8,George Washington,Politicians
2010,9,Ronald Reagan,Politicians
2010,10,Bill Clinton,Politicians
2009,1,Miley Cyrus,Actors
2009,2,Megan Fox,Actors
2009,3,Robert Pattinson,Actors
2009,4,Kristern Stewart,Actors
2009,5,Selena Gomez,Actors
2009,6,Brittany Murphy,Actors
2009,7,Vanessa Hudgens,Actors
2009,8,Taylor Lautner,Actors
2009,9,Angelina Jolie,Actors
2009,10,Demi Lovato,Actors
2009,1,Tiger Woods,Athletes
2009,2,Michael Jordan,Athletes
2009,3,LeBron James,Athletes
2009,4,Kobe Bryant,Athletes
2009,5,Manny Pacquiao,Athletes
2009,6,Michael Phelps,Athletes
2009,7,Brett Favre,Athletes
2009,8,Cristiano Ronaldo,Athletes
2009,9,Michael Vick,Athletes
2009,10,Steve McNair,Athletes
2009,1,Barack Obama,People
2009,2,Michael Jackson,People
2009,3,Lil Wayne,People
2009,4,Lady Gaga,People
2009,5,Miley Cyrus,People
2009,6,Taylor Swift,People
2009,7,Kim Kardashian,People
2009,8,Rihanna,People
2009,9,Tiger Woods,People
2009,10,Megan Fox,People
2009,1,Barack Obama,Politicians
2009,2,George W. Bush,Politicians
2009,3,Sarah Palin,Politicians
2009,4,Abraham Lincoln,Politicians
