Year,Rank,Name
2006,98,Eric Idle/Mike Nichols
2006,99,Adriana Lima
2006,100,Ty Pennington
2007,1,Oprah Winfrey
2007,2,Tiger Woods
2007,3,Madonna
2007,4,Rolling Stones
2007,5,Brad Pitt
2007,6,Johnny Depp
2007,7,Elton John
2007,8,Tom Cruise
2007,9,Jay-Z
2007,10,Steven Spielberg
2007,11,Tom Hanks
2007,12,Grey's Anatomy cast
2007,13,Howard Stern
2007,14,Angelina Jolie
2007,15,David Beckham
2007,16,Phil Mickelson
2007,17,David Letterman
2007,18,Bon Jovi
2007,19,Donald Trump
2007,20,Celine Dion
2007,21,Simon Cowell
2007,22,U2
2007,23,Kobe Bryant
2007,24,Michael Schumacher
2007,25,Shaquille O'Neal
2007,26,Jay Leno
2007,27,Nicole Kidman
2007,28,Ben Stiller
2007,29,Alex Rodriguez
2007,30,Dr. Phil McGraw
2007,31,Ronaldinho
2007,32,50 Cent
2007,33,Brian Grazer/Ron Howard
2007,34,Justin Timberlake
2007,35,Michael Jordan
2007,36,Rush Limbaugh
2007,37,Tim McGraw
2007,38,Roger Federer
2007,39,Jerry Bruckheimer
2007,40,George Clooney
2007,41,Kimi Raikkonen
2007,42,Jerry Seinfeld
2007,43,Sean (Diddy) Combs
2007,44,Jennifer Aniston
2007,45,Adam Sandler
2007,46,Oscar De La Hoya
2007,47,Cast of Desperate Housewives
2007,48,LeBron James
2007,48,J.K. Rowling
2007,50,Derek Jeter
2007,51,Maria Sharapova
2007,52,Matt Damon
2007,53,Gisele Bundchen
2007,54,Vince Vaughn
2007,55,Bill Clinton
2007,56,Gore Verbinski
2007,57,Will Smith
2007,58,Valentino Rossi
2007,59,Judge Judy Sheindlin
2007,60,Jessica Simpson
2007,61,Tyra Banks
2007,62,Anthony Robbins
2007,63,Cate Blanchett
2007,64,Regis Philbin
2007,65,Sandra Bullock
2007,66,Rachael Ray
2007,67,Alan Greenspan
2007,68,Julia Roberts
2007,69,Serena Williams
2007,70,Michelle Wie
2007,71,Keira Knightley
2007,72,Hilary Duff
2007,73,George Lopez
2007,74,Kate Moss
2007,75,Barbara Walters
2007,76,Ryan Seacrest
2007,77,Scarlett Johansson
2007,78,Jessica Alba
2007,79,Daniel Radcliffe
2007,80,Reese Witherspoon
2007,81,Larry the Cable Guy
2007,82,Deepak Chopra
2007,83,Annika Sorenstam
2007,84,Heidi Klum
2007,85,J.J. Abrams
2007,86,Dan Brown
2007,87,Emeril Lagasse
2007,88,Wolfgang Puck
2007,89,Dane Cook
2007,90,Jack Welch
2007,91,John Grisham
2007,92,Jeff Foxworthy
2007,93,Rhonda Byrne
2007,94,Dakota Fanning
2007,95,Danica Patrick
2007,96,Mitch Albom
2007,97,Emma Watson
2007,98,Hayden Panettiere
2007,99,Paula Deen
2007,100,Bobby Flay
2008,1,Oprah Winfrey
2008,2,Tiger Woods
2008,3,Angelina Jolie
2008,4,Beyonce Knowles
2008,5,David Beckham
2008,6,Johnny Depp
2008,7,Jay-Z
2008,8,The Police
2008,9,J.K. Rowling
2008,10,Brad Pitt
2008,11,Will Smith
2008,12,Justin Timberlake
2008,13,Steven Spielberg
2008,14,Cameron Diaz
2008,15,David Letterman
2008,16,LeBron James
2008,17,Jennifer Aniston
2008,18,Michael Jordan
2008,19,Kobe Bryant
2008,20,Phil Mickelson
2008,21,Madonna
2008,22,Simon Cowell
2008,23,Roger Federer
2008,24,Alex Rodriguez
2008,25,Jerry Seinfeld
2008,26,50 Cent
2008,27,Kanye West
2008,28,Celine Dion
2008,29,Bruce Willis
2008,30,Dr. Phil McGraw
2008,31,Tom Cruise
2008,32,Jay Leno
2008,33,"Sean ""Diddy"" Combs"
2008,34,Stephen King
2008,35,Miley Cyrus
2008,36,Kimi Raikkonen
2008,37,Jeff Gordon
2008,38,Ronaldinho
2008,39,Shaquille O'Neal
2008,40,Judge Judy Sheindlin
2008,41,Howard Stern
2008,42,Tyler Perry
2008,43,Fernando Alonso
2008,44,Leonardo DiCaprio
